sk_ato,chave_deputado,nome_na_api,partido_ultimo,tipo_ato,nome_tipo_ato,data,ano,sessao_legislativa,legislatura,id_objeto,fonte,valor_centavos,regra_chave,proposicao_id,sigla_numero_ano,sigla,id_tipo_proposicao,ordem_autoria,ementa,etapa,data_leitura
1,21,Deputado Delegado Fernando Fernandes,,1,apresentou uma proposição,2022-06-21,2022,32,8,2895,api_i5,,autor_id,2895,IND 8696/2022,IND,,,"Sugere ao Excelentíssimo Senhor Governador do Distrito Federal Ibaneis Rocha, por intermédio da CEB, a substituição de lâmpadas queimadas nos arredores do Estádio Abadião, em Ceilândia, RA IX",Apresentação,2022-06-21
2,20,Deputado Fábio Felix,PSOL,1,apresentou uma proposição,2022-04-07,2022,32,8,3706,api_i5,,autor_id,3706,REQ 3239/2022,REQ,,,"Solicita informações à Secretaria de Estado de Saúde do Distrito Federal a respeito da normatização e regulamentação do funcionamento do Ambulatório de Diversidades, instalado no Hospital Materno-Infantil de Brasília (HMIB)",Apresentação,2022-04-07
3,20,Deputado Fábio Felix,PSOL,1,apresentou uma proposição,2022-04-07,2022,32,8,4066,api_i5,,autor_id,4066,REQ 3238/2022,REQ,,,"Solicita informações à Secretaria de Estado de Economia e  à Secretaria de Desenvolvimento Urbano e Habitação do Distrito Federal a respeito da locação de imóveis não residenciais para uso pela Administração Pública.
",Apresentação,2022-04-07
4,20,Deputado Fábio Felix,PSOL,1,apresentou uma proposição,2022-04-06,2022,32,8,4327,api_i5,,autor_id,4327,REQ 3227/2022,REQ,,,"Solicita informações à Secretaria de Estado de Saúde do Distrito Federal referentes à falta do medicamento insulina de ação ultra-rápida na farmácia de alto custo do Distrito Federal.
",Apresentação,2022-04-06
5,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-03-22,2022,32,8,4363,api_i5,,autor_id,4363,REQ 3199/2022,REQ,,,"Requer que o Projeto de Lei nº 1.948, de 2021, seja declarado prejudicado.",Apresentação,2022-03-22
6,16,Deputado Claudio Abrantes,,1,apresentou uma proposição,2022-03-09,2022,32,8,4372,api_i5,,autor_id,4372,REQ 3148/2022,REQ,,,Requer a retirada e o arquivamento da proposição que menciona.,Apresentação,2022-03-09
7,20,Deputado Fábio Felix,PSOL,1,apresentou uma proposição,2022-04-20,2022,32,8,4418,api_i5,,autor_id,4418,PL 2710/2022,PL,,,Dispõe sobre a participação da comunidade acadêmica na nomeação de instituições de ensino superior públicas e de bens imóveis vinculados ,"Apresentação, Retorno(Parecer)",2022-04-20
8,20,Deputado Fábio Felix,PSOL,1,apresentou uma proposição,2022-04-07,2022,32,8,4449,api_i5,,autor_id,4449,REQ 3236/2022,REQ,,,Requer informações à Secretaria de Segurança Pública e ao Comando da Polícia Militar do Distrito Federal acerca do contrato para aquisição de capacetes customizados.,Apresentação,2022-04-07
9,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-06-01,2022,32,8,4488,api_i5,,autor_id,4488,PL 2825/2022,PL,,,Institui e inclui no calendário oficial de eventos do Distrito Federal o Dia da Ordem Demolay.,"Apresentação, Retorno(Parecer)",2022-06-01
10,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-06-01,2022,32,8,4491,api_i5,,autor_id,4491,PL 2826/2022,PL,,,Institui e inclui no calendário oficial de eventos do Distrito Federal o Dia do Cruzeiro de Fé.,"Apresentação, Retorno(Parecer)",2022-06-01
11,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,4509,api_i5,,autor_id,4509,REQ 3044/2022,REQ,,,Requer a declaração de prejudicialidade do Projeto de Lei no 688/2019.,Apresentação,2022-02-01
12,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,4513,api_i5,,autor_id,4513,REQ 3039/2022,REQ,,,"Requer a declaração de prejudicialidade do Projeto de Lei no 291/2019.
",Apresentação,2022-02-01
13,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,4515,api_i5,,autor_id,4515,REQ 3040/2022,REQ,,,"Requer a declaração de prejudicialidade do Projeto de Lei no 1.805/2017.
",Apresentação,2022-02-01
14,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,4518,api_i5,,autor_id,4518,REQ 3041/2022,REQ,,,"Requer a declaração de prejudicialidade do Projeto de Lei no 287/2019.
",Apresentação,2022-02-01
15,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,4519,api_i5,,autor_id,4519,REQ 3042/2022,REQ,,,"Requer a declaração de prejudicialidade do Projeto de Lei no 288/2019.
",Apresentação,2022-02-01
16,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-06-01,2022,32,8,4820,api_i5,,autor_id,4820,PL 2827/2022,PL,,,"Dispõe sobre o fornecimento de fraldas geriátricas para pessoas com deficiência e idosos em situação de vulnerabilidade social e econômica, no âmbito do Distrito Federal.","Apresentação, Retorno(Parecer)",2022-06-01
17,26,Deputado Jorge Vianna,INVÁLIDO,1,apresentou uma proposição,2022-02-08,2022,32,8,4852,api_i5,,autor_id,4852,IND 8083/2022,IND,,,"Sugere ao Poder Executivo do Distrito Federal, por intermédio do Departamento de Estradas e Rodagens DER-DF, a pavimentação asfáltica da Avenida Buritis, localizada em Ponte Alta, na Região Administrativa do GAMA - RA II.",Apresentação,2022-02-08
18,13,Deputado Agaciel Maia,,1,apresentou uma proposição,2022-02-08,2022,32,8,4907,api_i5,,autor_id,4907,IND 8088/2022,IND,,,"Sugere ao Poder Executivo, a disponibilização do Plano de Saúde administrado pelo Instituto de Assistência à Saúde dos Servidores do Distrito Federal - INAS, para os servidores e trabalhadores da Policia Militar do Distrito Federal, Corpo de Bombeiros Militar do Distrito Federal, IGES-DF, Hospital da Criança, Instituto de Cardiologia do Distrito Federal - ICDF e seus dependentes.",Apresentação,2022-02-08
19,26,Deputado Jorge Vianna,INVÁLIDO,1,apresentou uma proposição,2022-02-08,2022,32,8,4907,api_i5,,autor_id,4907,IND 8088/2022,IND,,,"Sugere ao Poder Executivo, a disponibilização do Plano de Saúde administrado pelo Instituto de Assistência à Saúde dos Servidores do Distrito Federal - INAS, para os servidores e trabalhadores da Policia Militar do Distrito Federal, Corpo de Bombeiros Militar do Distrito Federal, IGES-DF, Hospital da Criança, Instituto de Cardiologia do Distrito Federal - ICDF e seus dependentes.",Apresentação,2022-02-08
20,17,Deputado Daniel Donizet,MDB,1,apresentou uma proposição,2022-02-08,2022,32,8,5101,api_i5,,autor_id,5101,PDL 243/2022,PDL,,,Concede o Título de Cidadão Honorário de Brasília ao Senhor José Carlos Gentili.,Apresentação,2022-02-08
21,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-02-08,2022,32,8,5101,api_i5,,autor_id,5101,PDL 243/2022,PDL,,,Concede o Título de Cidadão Honorário de Brasília ao Senhor José Carlos Gentili.,Apresentação,2022-02-08
22,34,Deputado Roosevelt Vilela,PL,1,apresentou uma proposição,2022-02-08,2022,32,8,5101,api_i5,,autor_id,5101,PDL 243/2022,PDL,,,Concede o Título de Cidadão Honorário de Brasília ao Senhor José Carlos Gentili.,Apresentação,2022-02-08
23,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-02-08,2022,32,8,5101,api_i5,,autor_id,5101,PDL 243/2022,PDL,,,Concede o Título de Cidadão Honorário de Brasília ao Senhor José Carlos Gentili.,Apresentação,2022-02-08
24,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5154,api_i5,,autor_id,5154,IND 8006/2022,IND,,,"Sugere ao Poder Executivo do Distrito Federal, por intermédio da Secretaria de Estado de Infraestrutura e Obras, a revitalização do Parque da quadra Quadra 7 conjunto E Área Especial, na Região Administrativa do Paranoá - RA VII.",Apresentação,2022-02-01
25,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-10,2022,32,8,5158,api_i5,,autor_id,5158,IND 8094/2022,IND,,,"Sugere ao Governador do Distrito Federal, por intermédio da SECRETARIA DE TRANSPORTE E MOBILIDADE (SEMOB), a disponibilização de mais linhas de Ônibus para atender a região do Núcleo Casa Grande Ponte Alta Norte, MA, com itinerário direto para Rodoviária do Gama, na Região Administrativa do Gama, RA II.",Apresentação,2022-02-10
26,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-09,2022,32,8,5169,api_i5,,autor_id,5169,IND 8095/2022,IND,,,"Sugere ao Excelentíssimo Senhor Governador do Distrito Federal, por intermédio da CEB Iluminação Publica e Serviços S/A-CEB/Ipês, providências para melhoria da iluminação pública na CICLOVIA que liga a Quadra 06 do Buritis á Quadra 01 do Jardim Roriz, na Região Administrativa de Planaltina, RA VI. ",Apresentação,2022-02-09
27,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-09,2022,32,8,5181,api_i5,,autor_id,5181,IND 8096/2022,IND,,,"Sugere ao Poder Executivo, por intermédio da Companhia Urbanizadora da Nova Capital do Brasil – NOVACAP, a construção de parada de ônibus no local conhecido como Murão da Fazendinha, Quadra 03 Conjunto A, na Região Administrativa do Itapoã – RA XXVIII.",Apresentação,2022-02-09
28,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-09,2022,32,8,5219,api_i5,,autor_id,5219,IND 8097/2022,IND,,,"Sugere ao Poder Executivo do Distrito Federal que, por intermédio da Companhia Urbanizadora da Nova Capital - NOVA CA P, promova a Construção do estacionamento na BRT do Gama sentido Brasília/Gama ao lado direito, localizado na Região Administrativa do Gama - RA II.
",Apresentação,2022-02-09
29,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-09,2022,32,8,5221,api_i5,,autor_id,5221,IND 8098/2022,IND,,,"Sugere ao Excelentíssimo Senhor Governador do Distrito Federal, por intermédio da Companhia Urbanizadora da Nova Capital do Brasil  – NOVACAP, a poda de árvores no jardim Bloco F da SQS 103 – Asa Sul, Região Administrativa Plano Piloto, RA I.",Apresentação,2022-02-09
30,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-09,2022,32,8,5223,api_i5,,autor_id,5223,IND 8099/2022,IND,,,"Sugere ao Excelentíssimo Senhor Governador do Distrito Federal, por intermédio da Companhia Urbanizadora da Nova Capital do Brasil  – NOVACAP, a poda de árvores no jardim Bloco Q da SQS 415 – Asa Sul, Região Administrativa Plano Piloto, RA I",Apresentação,2022-02-09
31,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-08,2022,32,8,5227,api_i5,,autor_id,5227,IND 8076/2022,IND,,,"Sugere ao Poder Executivo do Distrito Federal, por intermédio da Companhia Urbanizadora da Nova Capital do Brasil - NOVACAP, a revitalização e limpeza da praça e parque para recreação infantil, localizado na Quadra 28 do Setor Leste  - Gama, Região Administrativa do Gama – RA II.",Apresentação,2022-02-08
32,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-08,2022,32,8,5228,api_i5,,autor_id,5228,IND 8071/2022,IND,,,"Sugere ao Poder Executivo que, por intermédio da Companhia Energética de Brasília – CEB, promova a substituição da iluminação pública por LED na QSC 13 em Taguatinga Sul, localizado na Região Administrativa de Taguatinga, RA-III.",Apresentação,2022-02-08
33,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-08,2022,32,8,5229,api_i5,,autor_id,5229,IND 8072/2022,IND,,,"Sugere ao Poder Executivo que, por intermédio da Companhia Energética de Brasília – CEB, promova a substituição da iluminação pública por LED na QI 24 lotes de 1à 13 em frente ao Top Life no Setor de Industria de Taguatinga, localizado na Região Administrativa, RA-III.
",Apresentação,2022-02-08
